Date,SPXGS_PTRM,SPXGS_GTRM,S&P500,LIBOR_3M
1998.04.30,572.265,178.96,3234.5,5.71875
1998.05.29,536.516,170.99,3178.91,5.6875
1998.06.30,486.151,173.5,3308.03,5.6875
1998.07.31,455.01,167.36,3272.81,5.6875
1998.08.31,424.409,161.36,2799.63,5.625
1998.09.30,502.558,173.68,2978.98,5.3125
1998.10.30,452.195,171.18,3221.3,5.21953
1998.11.30,348.06,171.37,3416.53,5.28266
1998.12.31,359.844,168.59,3613.41,5.06563
1999.01.29,369.345,167.39,3764.51,4.96953
1999.02.26,349.952,168.03,3647.51,5.02625
1999.03.31,478.119,163.96,3793.44,5
1999.04.30,514.913,167.99,3940.35,4.98875
1999.05.31,466.386,158.33,3847.3,5.06625
1999.06.30,538.994,154.09,4060.82,5.3675
1999.07.30,579.636,150.44,3934.02,5.3425
1999.08.31,632.813,150.21,3914.55,5.52
1999.09.30,700.216,175.53,3807.24,6.08375
1999.10.29,636.821,176.69,4048.17,6.185
1999.11.30,715.083,172.25,4130.46,6.115
1999.12.31,766.802,171.03,4373.72,6.00125
2000.01.31,844.806,168.55,4153.98,6.0775
2000.02.29,953.693,174.04,4075.35,6.10875
2000.03.31,907.352,165.77,4474.03,6.29
2000.04.28,896.308,162.55,4339.43,6.5025
2000.05.31,1033.924,161.88,4250.39,6.8625
2000.06.30,1181.541,172.54,4355.18,6.76938
2000.07.31,1058.899,164.96,4287.09,6.72188
2000.08.31,1305.107,165.19,4553.38,6.68
2000.09.29,1253.315,162.94,4312.99,6.81125
2000.10.31,1307.981,157.62,4294.76,6.76
2000.11.30,1403.384,160.96,3956.16,6.715
2000.12.29,1158.262,161.91,3975.53,6.39875
2001.01.31,1229.565,158,4116.57,5.42125
2001.02.28,1209.641,158.49,3741.22,5.0525
2001.03.30,1180.519,152.98,3504.21,4.87875
2001.04.30,1303.522,156.58,3776.52,4.33625
2001.05.31,1294.151,157.98,3801.83,3.99
2001.06.29,1183.846,161.04,3709.29,3.83625
2001.07.31,1177.109,158.86,3672.78,3.67
2001.08.31,1261.337,163.65,3442.86,3.4625
2001.09.28,1094.702,174.41,3164.84,2.59
2001.10.31,968.165,166.74,3225.19,2.2
2001.11.30,885.586,163.33,3472.58,2.03188
2001.12.31,890.232,166.01,3503,1.88125
2002.01.31,860.857,168.15,3451.88,1.88
2002.02.28,932.846,176.82,3385.31,1.9
2002.04.30,1145.514,183.98,3299.67,1.92
2002.05.31,1076.322,194.53,3275.36,1.89625
2002.06.28,1125.538,186.7,3042.05,1.86
2002.07.31,1134.874,180.54,2804.91,1.82375
2002.08.30,1232.959,185.94,2823.33,1.80625
2002.09.30,1289.544,192.91,2516.49,1.79
2002.10.31,1171.382,189.14,2737.98,1.68625
2002.11.29,1172.603,188.51,2899.14,1.425
2002.12.31,1355.602,206.76,2728.82,1.38
2003.01.31,1499.432,218.84,2657.33,1.35
2003.02.28,1690.394,207.88,2617.46,1.34
2003.03.31,1447.51,199.65,2642.88,1.27875
2003.04.30,1268.647,201.32,2860.57,1.31
2003.05.30,1423.119,216.55,3011.29,1.28
2003.06.30,1513.655,205.29,3049.7,1.11625
2003.07.31,1548.528,210.17,3103.47,1.11438
2003.08.29,1621.512,222.74,3164,1.14
2003.09.30,1504.916,228.43,3130.4,1.16
2003.10.31,1515.914,227.73,3307.48,1.16938
2003.11.28,1592.384,235.2,3336.58,1.17188
2003.12.31,1718.806,246.1,3511.57,1.15188
2004.01.30,1743.625,237.9,3576.02,1.13
2004.02.27,1923.129,234.47,3625.73,1.12
2004.03.31,1926.694,252.67,3571.03,1.11
2004.04.30,2076.854,228.78,3514.97,1.18
2004.05.31,2224.477,232.72,3563.21,1.315
2004.06.30,2111.348,231.86,3632.49,1.61
2004.07.30,2450.642,230.96,3512.27,1.7
2004.08.31,2367.128,242.24,3526.48,1.8
2004.09.30,2803.448,247.28,3564.67,2.02
2004.10.29,2951.925,252.93,3619.13,2.17
2004.11.30,2813.292,266.22,3765.56,2.41
2004.12.31,2455.278,258.02,3893.7,2.56438
2005.01.31,2741.662,248.81,3798.79,2.75
2005.02.28,2914.119,257.23,3878.73,2.92
2005.03.31,3205.361,252.53,3810.05,3.12
2005.04.29,2859.713,256.03,3737.79,3.21
2005.05.31,2857.253,245.04,3856.72,3.3375
2005.06.30,3097.373,256.32,3862.2,3.51625
2005.07.29,3271.759,252.7,4005.82,3.7
2005.08.31,3819.462,254.83,3969.27,3.87
2005.09.30,3671.189,275.52,4001.42,4.065
2005.10.31,3216.017,273.24,3934.72,4.26
2005.11.30,2997.232,290.41,4083.54,4.42
2005.12.30,3153.631,303.16,4084.96,4.53625
2006.01.31,3424.57,334.56,4193.12,4.68
2006.02.28,3062.447,328.95,4204.49,4.8225
2006.03.31,3286.873,340.35,4256.83,5
2006.04.28,3547.483,381.04,4313.99,5.13
2006.05.31,3483.07,375.8,4189.82,5.23813
2006.06.30,3595.791,358.13,4195.51,5.48063
2006.07.31,3577.798,369.96,4221.39,5.46563
2006.08.31,3322.911,364.32,4321.82,5.3975
2006.09.29,2904.383,348.46,4433.2,5.37
2006.10.31,2677.548,351.48,4577.66,5.37063
2006.11.30,2835.199,376,4664.71,5.37
2006.12.29,2660.576,368.86,4730.14,5.36
2007.01.31,2520.057,378.4,4801.68,5.36
2007.02.28,2667.076,388.32,4707.77,5.34813
2007.03.30,2817.328,384.18,4760.42,5.35
2007.04.30,2762.659,394.17,4971.29,5.355
2007.05.31,2682.18,382.44,5144.76,5.36
2007.06.29,2897.53,374.79,5059.29,5.36
2007.07.31,3136.44,385.52,4902.43,5.35866
2007.08.31,2987.97,388.44,4975.91,5.62125
2007.09.28,3321,428.6,5162,5.22875
2007.10.31,3842.94,456.14,5244.12,4.89375
2007.11.30,3711.62,450.06,5024.88,5.13125
2007.12.31,4002.4,479.22,4990.02,4.7025
2008.01.31,3865.9,528.02,4690.71,3.11188
2008.02.29,4281.23,555.76,4538.33,3.0575
2008.03.31,4353.22,523.33,4518.73,2.68813
2008.04.30,4868.78,491.84,4738.8,2.85
2008.05.30,5534.82,505.16,4800.19,2.68063
2008.06.30,6027.56,526.88,4395.51,2.78313
2008.07.31,5322.78,518.95,4358.56,2.79125
2008.08.29,4934.78,470.41,4421.61,2.81063
2008.09.30,4304.89,496.75,4027.61,4.0525
2008.10.31,2894.99,405.33,3351.18,3.02625
2008.11.28,2312.34,461.16,3110.72,2.21688
2008.12.31,1837.39,497.95,3143.82,1.425
2009.01.30,1636.09,521.93,2878.84,1.18438
2009.02.27,1511.03,529.98,2572.31,1.26438
2009.03.31,1606.6,519.02,2797.63,1.19188
2009.04.30,1582.18,500.13,3065.39,1.01625
2009.05.29,2001.7,549.06,3236.84,0.65625
2009.06.30,2082.82,519.52,3243.26,0.595
2009.07.31,2075.15,533.86,3488.58,0.47938
2009.08.31,2021.87,532.65,3614.53,0.3475
2009.09.30,2007.58,563.89,3749.41,0.28688
2009.10.30,2180.29,581.3,3679.75,0.28063
2009.11.30,2187.31,659.79,3900.48,0.25656
2009.12.31,2183.65,611.78,3975.82,0.25063
2010.01.29,1993.19,604.16,3832.79,0.24906
2010.02.26,2149.92,623.77,3951.52,0.25169
2010.03.31,2265.82,620.68,4189.97,0.2915
2010.04.30,2344.57,657.63,4256.12,0.34656
2010.05.31,1944.1,675.84,3916.27,0.53625
2010.06.30,1952.16,693.1,3711.26,0.53394
2010.07.30,2017.05,656.56,3971.28,0.45375
2010.08.31,1862.33,693.48,3792,0.29563
2010.09.30,2042.89,726.46,4130.41,0.29
2010.10.29,2054.8,753.16,4287.57,0.28594
2010.11.30,2117.78,767.85,4288.13,0.30031
2010.12.31,2294.74,787.51,4574.71,0.30281
2011.01.31,2362.25,738.43,4683.13,0.30438
2011.02.28,2489.85,780.24,4843.57,0.3095
2011.03.31,2668.43,796.06,4845.5,0.303
2011.04.29,2842.85,860.51,4989,0.273
2011.05.31,2593.62,848.98,4932.53,0.25288
2011.06.30,2453.69,830.23,4850.31,0.24575
2011.07.29,2503.66,900.01,4751.68,0.2555
2011.08.31,2395.08,1010.68,4493.56,0.32722
2011.09.30,2140.61,895.15,4177.66,0.37433
2011.10.31,2413.16,951.95,4634.25,0.42944
2011.11.30,2518.15,964.48,4624.02,0.52889
2011.12.30,2468.02,863.37,4671.31,0.581
2012.01.31,2517.97,957.36,4880.66,0.54235
2012.02.29,2728.08,941.42,5091.71,0.48425
2012.03.30,2683.91,918.34,5259.27,0.46815
2012.04.30,2675.67,914.18,5226.26,0.46585
2012.05.31,2255.85,858.08,4912.16,0.46685
2012.06.29,2205.09,880.09,5114.55,0.4606
2012.07.31,2323.9,883.23,5185.59,0.4426
2012.08.31,2562.02,923.25,5302.38,0.41825
2012.09.28,2490.92,970.54,5439.41,0.3585
2012.10.31,2375.09,940.64,5338.97,0.31275
2012.11.30,2430.52,935.98,5369.94,0.3105
2012.12.31,2452.67,915.88,5418.89,0.306
2013.01.31,2593.01,907.21,5699.56,0.298
2013.02.28,2479.69,861.47,5776.93,0.2871
2013.04.30,2360.36,802.67,6109.06,0.2731
2013.05.31,2323.09,758.82,6251.96,0.27525
2013.06.28,2392.24,666.62,6168.01,0.2731
2013.07.31,2571.89,714.05,6481.86,0.2656
2013.08.30,2674.48,759.27,6294.14,0.2595
2013.09.30,2552.79,721.71,6491.52,0.24885
2013.10.31,2512.67,719.94,6789.92,0.242
2013.11.29,2499.04,679.54,6996.83,0.2391
2013.12.31,2574.34,653.44,7173.97,0.2461
2014.01.31,2501.28,673.52,6925.93,0.2366
2014.02.28,2600.038,717.99,7242.75,0.23565
2014.03.31,2573.166,697.35,7303.63,0.2306
2014.04.30,2572.944,703.95,7357.62,0.22335
2014.05.30,2619.653,676.69,7530.33,0.2274
2014.06.30,2708.325,717.98,7685.89,0.2307
2014.07.31,2561.914,695.97,7579.9,0.2391
2014.08.29,2506.397,698.49,7883.13,0.2336
2014.09.30,2342.545,657.37,7772.58,0.2351
2014.10.31,2113.69,635.68,7962.43,0.2321
2014.11.28,1760.88,637.33,8176.57,0.2336
2014.12.31,1425.361,642.02,8155.98,0.2556
2015.01.30,1300.585,693.1,7911.14,0.2531
2015.02.27,1450.378,657.29,8365.81,0.26185
2015.03.31,1300.56,640.53,8233.5,0.27075
2015.04.30,1537.908,640.11,8312.49,0.27875
2015.05.29,1517.504,643.56,8419.38,0.28375
2015.06.30,1476.754,633.83,8256.4,0.2832
2015.07.31,1210.48,591.19,8429.38,0.3086
2015.08.31,1232.559,611.43,7920.81,0.329
2015.09.30,1109.096,602.12,7724.82,0.325
2015.10.30,1116.382,616.27,8376.44,0.3341
2015.11.30,992.473,574.82,8401.35,0.4162
2015.12.31,830.862,572.19,8268.84,0.6127
2016.01.29,750.238,602.45,7858.51,0.6126
2016.02.29,728.6,666.31,7847.9,0.6331
2016.03.31,788.62,666.52,8380.29,0.6286
2016.04.29,911.665,696.27,8412.78,0.6366
2016.05.31,956.416,655.78,8563.86,0.6858
2016.06.30,932.415,711.48,8586.05,0.6541
2016.07.29,797.588,727.5,8902.6,0.7591
2016.08.31,851.056,702.99,8915.1,0.83933
2016.09.30,908.249,706.24,8916.79,0.85367
2016.10.31,875.657,682.84,8754.14,0.88428
2016.11.30,909.591,628.13,9078.35,0.93417
2016.12.30,983.699,616.51,9257.79,0.99789
2017.01.31,946.306,647.13,9433.38,1.03456
2017.02.28,951.921,670.11,9807.94,1.064
2017.03.31,895.538,667.21,9819.38,1.14956
2017.04.28,860.551,676.76,9920.22,1.17233
2017.05.31,842.385,679.16,10059.83,1.21
2017.06.30,804.444,662.08,10122.62,1.29917
2017.07.31,878.39,675.33,10330.76,1.31056
2017.08.31,871.628,701.83,10362.39,1.31778
2017.09.29,928.117,682.55,10576.15,1.33389
2017.10.31,981.991,675.6,10822.94,1.38122
2017.11.30,1016.506,677.31,11154.88,1.48738
2017.12.29,1081.829,695.35,11278.91,1.69428
2018.01.31,1136.1,711.64,11924.67,1.77777
2018.02.28,1075.767,699.13,11485.16,2.01719
